material_id,formula,exfoliation_energy (J/m^2)
1574,Br3Sb,0.2792791494165341
5090,ClCoO3Sr2,0.5437777231825669
1745,RhSr2,0.6815751222290282
4405,O4SSn,0.31721355212830254
459,Cl2O5,0.24459043241150702
5624,Ca3Co2O6,1.6208067486108615
848,Be2Ir,3.030995653613887
852,F2Hf,0.6542075365775316
3738,S2W,0.30709462099775836
1561,F4Ge,0.32025542460831513
2314,SeZn,0.5909216057915078
570,Br3W,0.7667809729370294
2272,ScSe,0.038040483136486905
5128,HO2Sc,0.855023283192694
5632,H2CuO5S,0.9455140678172728
4770,BiCl2CuS,1.1485767433064382
1999,BiF3,0.6477434358303034
5261,MnO7P2,0.7984630914862231
2510,I2Sn,0.48927291012069823
1145,TaTe,0.3840407294799017
5034,H2CuO2,0.9155984933054857
1821,Te3W,0.38516674310658994
1840,I2Zn,0.3064179337864504
5199,NiSe5Ta2,0.34342006559951144
5521,MnSnSr,0.9406756888681134
1819,As2Pd,1.0986524252135006
4618,Ag2Se,0.6619933410341411
4332,CrO5P,0.28774429976294397
3405,FIPb,0.29698981533076735
276,SSn,0.5919820799412607
5048,CLi4O4,0.009457698106327841
2212,SbSe,0.031132855840654245
5529,Cu2IO3,0.4918786028241923
2778,SbW,0.5427587550698246
1474,Bi2Ni,0.5929194158277094
1961,CrSe3,0.37731199865271897
764,Br5Ta,0.5202623790086686
3683,O2Te,0.5792507419623486
3524,IInTe,0.26680966840765413
4597,ClNZr,0.28558319565226875
2159,AuCd3,0.9943405671387399
5085,Bi7Cu4S12,0.902829499596178
4589,PS5TiTl,0.3478258450385975
361,I3W,0.27201717576145085
598,O3W,0.6840237960709988
4508,Br2Cr,0.2729064919433164
903,Ga2Se,0.7482320280671381
4667,Fe2Li2O7Si2,0.23236439669505546
4427,O2SnZn,0.47578589443436936
5108,F5LiOV2,0.6104635135280606
572,BaI2,0.45673823748614667
5903,Bi3F15Y,0.38288139729967036
1433,PdSe,0.5538495813166692
4322,FO2V,0.4493823582430997
4156,F4LiO2Re,0.31404510994113705
801,CoSe2,0.6996769464661756
5355,GeO3Ti,0.2085687456418841
4805,Bi14S8Te13,0.30912544088091726
813,Br3Si,0.1684976025519394
4265,FFeO,1.1779033490523139
345,Br2Sr,0.20502937438470328
4610,PPdSe,0.45814080113129796
4859,Cl2Cu3O6Se2,0.3202074539494535
1143,Br4Sn,0.3435955793199661
379,PdSe2,0.6047668945299988
596,Nb2S,0.6129434931358518
1700,Cl3Sc2,0.33566894458345425
1881,F2Hg,0.8225507859834991
463,S3Ta2,0.8814238463171502
5842,KMg6O7Rb,0.3538158865469226
1127,BiBr3,0.3195474398412204
3529,I2Mg,0.25419854884291454
2264,FNa2,0.820322626687937
5700,LiO2Sb,0.28429771512931995
682,Bi2Se3,0.4132229902967119
4694,H16Fe3O16P2,0.7891283722707113
5487,C2O6V,0.2568034193323673
4749,F5LiMn,0.35082033697534293
1852,F2Mn,0.2806729964230609
1667,B2Te5,0.342591599895533
4861,NbNiTe5,0.3123453733693591
2834,Ga2S3,1.005840184435983
1524,Ba5Ir,0.80303128277524
12,Cl4Sn,0.3081297419934363
3401,H2KN,0.3499435224934946
3136,Cl3Zr,0.28288330072363843
4304,BiCaClO2,1.1314891841964112
