ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),sum:thermal_conductivity (W / m / K),ave:bulk_modulus (GPa)
5274,1.9460211851753186,46.798939497262666,0.02583,0.904,5.0,2.375,20.28,3.70630375,2.9056909374999975,2149.3317970404905,4.984375,1.4370192625000002,3.4011897000000006,14.01,79.335,31.304,23.45,99.5,288.6,29.0,2.7544261917331156,103.0,334.9125,29.446749999999998,59.30086,56.32222221058052
1743,0.2983344303128231,1.1,0.0089,20.41,5.0,3.888888888888889,238.6,1.7402555555555554,10.059542888888881,1177.7777777777778,4.320987654320987,3.381015182168147,3.612725,172.2,121.302,33.949,25.305555555555557,90.33333333333333,296.1,7.8,0.18791303887884675,99.0,372.7888888888889,32.25366666666667,31.3246,27.52222222222222
5070,0.5293939461699368,1.1,0.0089,15.579091192355275,5.0,2.9000000000000004,90.19,57.011522,9.16423049,1160.0,2.09,1.218615164,3.612725,54.8,121.302,33.949,23.682,90.20000000000002,314.8,430.0,0.8945230114673675,101.0,382.83,27.5611,1140.23044,58.95241634020891
5907,0.3021966180988051,76.10604085052228,0.02658,15.579091192355275,4.0,2.2857142857142856,90.19,138.58661714285714,6.112147102040815,1328.5714285714284,3.9183673469387754,1.3043877142857143,1.4611135,54.8,249.229,29.378,15.558571428571428,86.14285714285714,309.6,400.0,0.04944998041034693,101.0,344.0857142857143,27.23742857142857,3880.42528,127.77488048601272
2418,0.0013219075881414184,46.798939497262666,0.0277,6.54,5.0,4.0,85.01,4.422160000000001,6.23800576,1520.0,4.0,2.7367517600000006,3.4011897000000006,53.53,79.335,31.304,16.67,91.80000000000001,317.5,22.0,1.765911104445775,102.0,332.62,30.0552,22.1108,59.43915159781013
2269,0.3502865678471062,65.0,3.0,49.8,4.0,2.0,1263.0,13.0,0.034225000000000186,3750.0,4.0,1.1984380000000001,1.970876,722.7,196.6,25.73,28.615,70.5,312.4,23.0,0.5966604638440001,92.0,379.7,25.545,52.0,118.75990922799299
4072,0.3382585507803327,43.0,0.02658,15.579091192355275,4.0,2.0,90.19,30.675526666666663,2.078080888888888,4500.0,2.0,0.7383711666666666,1.4611135,54.8,182.2,29.378,24.806666666666665,85.66666666666666,350.0,46.0,0.2611782401960555,101.0,406.4666666666666,27.339333333333332,92.02658,54.03534695017409
939,1.0138802345410294,17.0,120.0,114.8,0.0,0.0,1180.0,173.33333333333331,0.06456022222222171,1633.3333333333333,0.0,0.7896928657734106,2.319978597320232,692.73,130.4,25.929,34.523333333333326,36.0,276.3,200.0,1.1708872100878949,76.0,318.69999999999993,25.749333333333333,520.0,34.666666666666664
5720,1.3854365759603784,11.0,0.02658,15.579091192355275,4.0,3.090909090909091,90.19,26.423460000000002,6.052763834710741,1809.090909090909,2.2644628099173554,1.350658827029112,2.319978597320232,54.8,130.4,29.378,17.32181818181818,92.54545454545453,276.3,170.0,0.18548379875904336,101.0,351.3909090909091,27.541272727272727,581.31612,84.97657145033236
1660,0.6961137972051953,9.6,18.0,114.8,0.0,0.0,1180.0,52.0,1.5960888888888884,2166.6666666666665,0.0,0.8697395324400773,2.319978597320232,692.73,130.4,28.07,46.983333333333334,34.666666666666664,276.3,120.0,1.0515966726522326,76.0,338.9666666666667,27.176666666666662,156.0,29.73333333333333
