# c0 + a0 * (var:melting_point + ave:boiling_point) + a1 * (var:melting_point * ave:atomic_radius_rahm) + a2 * sqrt(var:melting_point) + a3 * (ave:atomic_radius_rahm^3)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 12.5731397937344; Max AE: 35.4224181258769
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.156799948231139e-04, -1.912204993566662e-06, -9.310746788328456e-02,  2.171628749439707e-05, -4.891999568544996e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature;                                      14|5|add; (var:melting_point + ave:boiling_point); $\left(var:melting_{point} + ave:boiling_{point}\right)$; (var:melting_point + ave:boiling_point); var:melting_point,ave:boiling_point
# 1;  1; length * temperature;                             14|2|mult; (var:melting_point * ave:atomic_radius_rahm); $\left(var:melting_{point} ave:atomic_{radius, rahm}\right)$; (var:melting_point .* ave:atomic_radius_rahm); var:melting_point,ave:atomic_radius_rahm
# 2;  1; temperature^0.5;                                  14|sqrt; sqrt(var:melting_point); $\left(\sqrt{ var:melting_{point} }\right)$; sqrt(var:melting_point); var:melting_point
# 3;  1; length^3;                                         2|cb; (ave:atomic_radius_rahm^3); $\left(ave:atomic_{radius, rahm}^3\right)$; (ave:atomic_radius_rahm).^3; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
37          ,  6.740982957627959e+01,  6.730872255297834e+01,  1.216260499600000e+06,  2.551179509760000e+08,  1.102201154780741e+03,  9.261000000000000e+06
29          ,  7.604393505755419e+01,  6.966037842717817e+01,  3.230606476560000e+05,  6.221417563960800e+07,  5.677616063595706e+02,  7.189057000000000e+06
107         ,  5.684900711217347e+01,  6.370377146537509e+01,  8.709425931360000e+05,  1.702730173388288e+08,  9.325380738264791e+02,  7.506509912000001e+06
134         ,  2.189143114936079e+02,  2.083274437707567e+02,  9.508123040000001e+04,  2.236340778480000e+07,  3.071813314640068e+02,  1.331205300000000e+07
1           ,  6.589429488532184e+01,  4.616283313488702e+01,  1.972277839384000e+06,  4.232203109876833e+08,  1.403673537324117e+03,  9.910665792000001e+06
52          ,  1.685536482338435e+02,  1.446990907886069e+02,  1.654075904000000e+05,  3.621266299007999e+07,  4.055286801201611e+02,  1.067706640800000e+07
130         ,  7.583037174302696e+01,  6.631136249084588e+01,  6.780429231760001e+05,  1.328410785099312e+08,  8.228424619427465e+02,  7.552609127999999e+06
103         ,  5.981199781507478e+01,  6.256606785820316e+01,  2.028505025136000e+06,  4.017580775831552e+08,  1.423739333984982e+03,  7.785938167999999e+06
99          ,  1.103591846419842e+02,  9.724437040186099e+01,  4.382923997600000e+04,  8.475415139296001e+06,  2.079469018187095e+02,  7.529536000000000e+06
116         ,  6.928383831454539e+01,  8.276156412906388e+01,  1.287827362960000e+05,  2.487956990348320e+07,  3.579289458761334e+02,  7.323988887999998e+06
87          ,  1.073098314779565e+02,  1.122080071500862e+02,  2.115375640000000e+04,  4.163564480000000e+06,  1.442838258433703e+02,  8.000000000000000e+06
74          ,  1.634935249887072e+02,  1.700384198089539e+02,  1.349510144000000e+05,  3.053211896256000e+07,  3.664234359317101e+02,  1.175902682400000e+07
121         ,  7.759315330331438e+01,  7.253647131852051e+01,  3.260596922960000e+05,  6.328697255320162e+07,  5.702768505699667e+02,  7.369338536000002e+06
143         ,  7.259770851342745e+01,  7.920377184880662e+01,  8.303391686400000e+04,  1.570561361067840e+07,  2.870555884563128e+02,  6.924185416000002e+06
20          ,  1.126975075036733e+02,  1.023341660631652e+02,  1.471338122960000e+05,  2.981052495260641e+07,  3.828329744105124e+02,  8.414975304000001e+06
71          ,  2.033361364024827e+02,  2.095472835532515e+02,  9.573485600000004e+03,  2.002288228480001e+06,  9.314196476347277e+01,  1.229440211200000e+07
106         ,  2.038799354056747e+02,  2.025742694671453e+02,  1.549753760000000e+04,  3.389373016960001e+06,  1.214992905329081e+02,  1.210363033600000e+07
14          ,  1.651217664757107e+02,  1.597921730093565e+02,  3.802509824000001e+05,  8.866648089712003e+07,  6.158252368976122e+02,  1.278007847200000e+07
102         ,  8.368680399312422e+01,  6.792452473716396e+01,  2.101970685359999e+05,  3.970976001682559e+07,  4.576457828233534e+02,  6.815771136000003e+06
