ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),sum:thermal_conductivity (W / m / K),ave:heat_capacity_molar (J / mol / K),ave:bulk_modulus (GPa),min:num_valance,perimeter_area_ratio (AA^-1),max:icsd_volume (cm^3 / mol),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
1574,0.2792791494165341,1.9,0.12,29.56,5.0,4.5,331.9,6.09,477.41467500000005,6025.0,0.75,2.7841911500000003,3.3635882000000006,265.9,111.85,75.69,56.407500000000006,95.5,418.9,24.0,1.007102824646108,98.0,424.67499999999995,97.44,63.074999999999996,11.925,15.0,0.44313791608994135,65.14,22.225,70.97
5090,0.5437777231825669,1.1,0.0089,15.579091192355275,5.0,2.4285714285714284,90.19,24.29837714285714,7.333329428571428,1600.0,4.530612244897959,1.2506174228571427,3.612725,54.8,121.302,33.949,29.20142857142857,70.85714285714286,287.2,100.0,1.2787462793723698,101.0,351.4428571428571,340.17728,28.639,79.19701012633381,2.0,1.0426983569529449,56.08,19.257142857142856,106.32103908243798
1745,0.6815751222290282,72.48047416638491,35.0,144.0,0.0,0.0,1657.0,73.33333333333333,0.7280222222222211,4666.666666666666,0.0,0.41100000000000003,1.137,1042.0,164.0,26.79,41.24666666666666,31.666666666666664,292.9,150.0,0.263538,65.0,340.3666666666667,220.0,26.186666666666667,174.98698277758993,2.0,1.0765437112003553,56.08,25.233333333333334,260.66666666666663
4405,0.31721355212830254,7.7,0.02658,10.5,4.0,3.6666666666666665,90.19,11.218553333333332,6.0999170000000005,766.6666666666665,0.5555555555555556,1.5056041716666666,2.07710403,54.8,249.229,29.378,20.375,96.83333333333333,350.0,67.0,0.08156687883663737,101.0,373.7833333333333,269.24528,27.866999999999997,61.68736056701485,6.0,0.6009928815417255,27.05,14.633333333333333,61.46939412823684
459,0.24459043241150702,1.1,0.0089,15.579091192355275,5.0,4.285714285714286,90.19,0.021528571428571428,4.264089999999996,642.8571428571429,0.20408163265306123,2.075859642857143,3.612725,54.8,121.302,33.949,20.7,100.42857142857142,350.0,0.02658,0.9447820503943369,101.0,362.77142857142854,0.3014,30.683999999999997,54.67574346465877,6.0,0.5729617443245029,29.05,15.342857142857142,16.959350851682338
5624,1.6208067486108615,17.0,0.02658,15.579091192355275,4.0,2.1818181818181817,90.19,72.7417709090909,3.9011014214876063,1172.7272727272727,3.9669421487603302,0.9240767199999999,1.4611135,54.8,177.8,29.378,23.54272727272727,71.0909090909091,287.2,200.0,0.39045415231922004,101.0,335.8272727272727,800.15948,27.606818181818177,78.87602228210305,2.0,0.8995337500221213,44.19,17.009090909090908,121.13404974128468
848,3.030995653613887,130.0,150.0,309.0,0.0,0.0,3243.0,176.66666666666666,16.654144222222236,5700.0,0.0,-1.078733333333333,1.5638,1551.0,324.0,25.1,10.033333333333333,73.33333333333333,274.5,190.0,3.4914912088888883,77.0,277.66666666666663,530.0,19.328666666666663,193.33333333333331,2.0,1.4143416363437713,13.88,6.18,407.3333333333333
852,0.6542075365775316,46.798939497262666,0.0277,6.54,5.0,3.333333333333333,85.01,7.685133333333333,6.904327999999994,1866.6666666666665,5.555555555555555,2.2721264666666667,3.4011897000000006,53.53,79.335,31.304,18.42,84.66666666666666,314.1,23.0,2.549567569730243,102.0,328.96666666666664,46.1108,29.445999999999998,67.86595966484177,7.0,0.9944867437482884,22.42,15.933333333333334,196.02666666666664
3738,0.30709462099775836,7.7,0.205,10.5,4.0,2.6666666666666665,717.824,56.80333333333333,0.5477555555555558,2100.0,3.5555555555555554,1.6568226866666667,2.07710403,386.0,277.17,24.27,22.456666666666663,81.0,309.6,170.0,0.35327281510814246,94.0,372.2,170.41,23.223333333333333,108.46666666666667,6.0,1.4463432264603364,25.76,13.509999999999998,281.66666666666663
1561,0.32025542460831513,46.798939497262666,0.0277,6.54,5.0,4.4,85.01,12.02216,10.450995839999994,1580.0,1.44,2.9674941600000007,3.4011897000000006,53.53,79.335,31.304,17.582000000000004,98.4,336.4,60.0,0.7523672856635669,102.0,354.72,60.1108,29.6876,56.74673933853169,7.0,1.046523175317927,22.23,16.400000000000002,70.83200000000001
2314,0.5909216057915078,8.3,0.52,59.7,4.0,2.0,958.1,60.26,0.00018224999999996586,3950.0,4.0,2.170324298660116,2.319978597320232,490.0,130.4,25.39,22.5,84.5,276.3,120.0,0.022396409107451175,93.0,348.4,1446.24,25.3765,39.15,12.0,1.1505638404950254,29.81,12.85,87.25
